n,k,avg_rprmax,avg_rppmax
33,12,0.010552636998944705,0.3779043939808937
33,14,0.0104938341921778,0.41018125590299126
33,16,0.010534869533843973,0.4430508138875339
33,18,0.010691048111618926,0.4778937323074399
33,20,0.010993053404756342,0.5165414881318247
33,22,0.01147285482075131,0.5610778972192996
33,24,0.012214219468475639,0.6155724570423871
33,26,0.013370292796620581,0.6875542084232171
33,28,0.015306885334577709,0.7955805734262964
33,30,0.01915795873625978,1.007152793303978
33,32,0.032226562500000444,inf
34,2,0.0014444770521122783,0.05461050108044523
34,3,0.006547347673660012,0.1426982703693033
34,4,0.00931057408663837,0.19826023929332387
34,5,0.010313000533930843,0.2345795841393854
34,6,0.01062285630833216,0.2619193392031437
34,7,0.010531186133564015,0.2826849873909555
34,8,0.010524184174749813,0.3032388938877454
34,9,0.010366951157174497,0.3202741044949674
34,10,0.010284454461547875,0.3374239765954953
34,11,0.010224594976988795,0.354113243543432
34,12,0.010136576028197435,0.36951888464815524
34,13,0.010083214331266886,0.3849529761672797
34,14,0.010051689845752117,0.4003165416590303
34,15,0.010034368119655714,0.4155607600171895
34,16,0.010056281060566804,0.43138269090723547
34,17,0.010094087391952099,0.4473570354684641
34,18,0.010165999478527369,0.46404383850082576
34,19,0.010272877041860261,0.4816002377911726
34,20,0.01040418104740056,0.49986310255626465
34,21,0.010576452325987843,0.5194143710529272
34,22,0.01079134289384877,0.5404544565152177
34,23,0.011057563262907213,0.5634141936567535
34,24,0.011383830053788558,0.5887697739487856
34,25,0.01178639568477099,0.617302775623406
34,26,0.01228720028231794,0.6500979242074612
34,27,0.012917741817877141,0.6887573543568922
34,28,0.013727798378541173,0.7358837866594822
34,29,0.014803615894000694,0.7961809674777605
34,30,0.016300347253679962,0.8789428848685601
34,31,0.018545073656982245,1.0069391656628242
34,32,0.022388144778499368,1.2620855774226034
34,33,0.03122130394857657,inf
35,2,0.0013426290295006137,0.05262364461171742
35,4,0.009152609403110662,0.19652727982468626
35,6,0.010250688776900451,0.2569755180208779
35,8,0.010138195743092415,0.29716803705222977
35,10,0.009905959504019768,0.3305556111332161
35,12,0.00972930723789983,0.36120536488747085
35,14,0.00963317937715667,0.39085566385448284
35,16,0.00962193145624619,0.42064942380934484
35,18,0.0097000391502934,0.45158862944376243
35,20,0.009879300244127892,0.48481223517211014
35,22,0.010191241339482097,0.5220948006364148
35,24,0.010669481223725229,0.5655209791778024
35,26,0.011387391099815982,0.6189062120462052
35,28,0.012493738710835861,0.6898383392232594
35,30,0.014332377112450565,0.7967404145066411
35,32,0.017970024022108514,1.0067288033626798
35,34,0.03027681660899664,inf
36,2,0.001250551535973962,0.05076323096921623
36,3,0.006505740391067249,0.1425227505621265
36,4,0.00883744670638085,0.19293785316432815
36,5,0.009667215099015646,0.22666846577822505
36,6,0.009807120581702956,0.2510198373432778
36,7,0.009845025113554434,0.2726235597224189
36,8,0.009774368123886426,0.29136359066494044
36,9,0.009661436720048756,0.30821460882680185
36,10,0.009579963822883892,0.3245523459153207
36,11,0.009477057222858153,0.339605638812073
36,12,0.009378884898011803,0.35394421833802137
36,13,0.009298440003766381,0.3679494363684225
36,14,0.009260289802811753,0.38230656131126045
36,15,0.009229886573072546,0.396389935694004
36,16,0.009221267184101076,0.4106180198762015
36,17,0.00923233302640997,0.4250441095659399
36,18,0.009268833739752362,0.43991650881148436
36,19,0.009325627758418083,0.45519835293979083
36,20,0.009409659846484914,0.4711763866068523
36,21,0.00951847528405992,0.48788192976932054
36,22,0.009658470886317567,0.5056072972976381
36,23,0.009833518319519107,0.5245895039059992
36,24,0.010047537867078772,0.5450843203330653
36,25,0.010308415381048189,0.5675016434835781
36,26,0.0106256622958912,0.5923496940813
36,27,0.011014821041120398,0.6204110769929845
36,28,0.011494761368063598,0.6526960407482971
36,29,0.012097442403556365,0.6908766120388113
36,30,0.012868687064637304,0.7375000177325169
36,31,0.013889527524106323,0.797234373385031
36,32,0.015307107993196812,0.8793629264217335
36,33,0.017429487135234206,1.0065254988703125
36,34,0.02105778642675794,1.2600605778468337
36,35,0.02938775510204071,inf
37,2,0.0011670724234883417,0.04901795394921952
37,4,0.008512115690966583,0.18922449796853452
37,6,0.009561838950745805,0.24763713416593505
37,8,0.009439756971789648,0.285947931418736
37,10,0.009230205547299534,0.318045260483567
37,12,0.009027458295976216,0.34657601780496927
37,14,0.008906647504797341,0.37409554583300336
37,16,0.008850028466099004,0.4012019216215615
37,18,0.00887495033279029,0.429116725688647
37,20,0.008979087523768196,0.45852063198553505
37,22,0.009181036974389956,0.4906579461796049
37,24,0.009498069420722366,0.5268403387603402
37,26,0.009969080436193115,0.5692800548720639
37,28,0.010664813032134759,0.6217779865406434
37,30,0.011724711706301428,0.6918167072870938
37,32,0.013473450107901765,0.797706646271023
37,34,0.016920470637561164,1.0063300511084385
37,36,0.028549382716049287,inf
38,2,0.0010911868416670066,0.04737779449610317
38,3,0.005814519134287425,0.1343903783914619
38,4,0.008140047036697887,0.18486487540028537
38,5,0.009043675448036591,0.21883795504715137
38,6,0.009283150778324386,0.24376920538528773
38,7,0.009257629454522732,0.2637853592619727
38,8,0.009156057102795528,0.2812883502843563
38,9,0.009051848893756511,0.2975206320094421
38,10,0.008919392402122578,0.31217871618320947
38,11,0.008799808268961906,0.3261114632829889
38,12,0.008731783929935321,0.3402844467653765
38,13,0.008646993180553324,0.3534466752760235
38,14,0.00858630133494418,0.36655803564036804
38,15,0.008537722876394687,0.3794615649733491
38,16,0.008514830716679987,0.3925872602148435
38,17,0.008503589798159458,0.40568323880554813
38,18,0.008515162343528497,0.41912533846124145
38,19,0.00854745936988701,0.4329517996690823
38,20,0.008592719677273201,0.44702029285149153
38,21,0.00866245177698392,0.4617422173870936
38,22,0.008754113114478613,0.47712942047852885
38,23,0.00886874128677381,0.49329822471980533
38,24,0.009011781420752159,0.5105155061299805
38,25,0.009185403340073145,0.5289572842649547
38,26,0.009397173821639876,0.5490009854535949
38,27,0.00965249461011132,0.5709805718730133
38,28,0.009961398138361983,0.595434812728984
38,29,0.010337247631553737,0.6230911261971593
38,30,0.010797833884975825,0.6549468256170276
38,31,0.011373922370752434,0.6926843601441897
38,32,0.012109667618446642,0.7388704182227208
38,33,0.013081377256550874,0.7981408885706116
38,34,0.01442766947905583,0.8797143615729437
38,35,0.016440136522398372,1.0061331432456826
38,36,0.01987639577707132,1.2582397017221891
38,37,0.02775748721694668,inf
39,2,0.001022029748703339,0.04583384432168584
39,4,0.008011655083864436,0.18330019603481568
39,6,0.008959422911847212,0.2392354927328614
39,8,0.008846382683499975,0.27615017501699146
39,10,0.00863327285380638,0.30670724776069724
39,12,0.008427006733847636,0.3337298527860101
39,14,0.008277701434509658,0.3592085258199491
39,16,0.008199401079882684,0.38438059291762283
39,18,0.008184989366234673,0.4098410167535599
39,20,0.008238501259972861,0.43634774939763704
39,22,0.008362309683283293,0.4645669759703496
39,24,0.008575011759663718,0.4956875909982975
39,26,0.008893640991591794,0.5309671870993433
